"Title","Content","Rating"
"Scratches that Political Drama Itch","Television programming in recent times often adopts a broader approach to appeal to a wider audience, resulting in a dilution of content characterized by reduced depictions of nudity, violence, and consequential themes. This tendency can sometimes equate to a superficial treatment that reminds me of a middle school history class, where subjects are overviewed without diving into the depth of their darker (or more romantic) aspects.Contrarily, ""Shogun"" distinguishes itself by fearlessly portraying the brutal realities amidst the captivating backdrop of a Japanese setting and culture, thereby infusing the narrative with an authenticity often lacking in most television programming.Moreover, the deliberate decision to retain all Japanese dialogue in its native language adds an immersive layer to the viewing experience. While this choice may polarize audiences, it effectively fosters a deeper connection with the central character, John Blackthorne. The show runners have however chosen to convey all spoken Portuguese as English.Through its initial episodes, ""Shogun"" unveils a rich tapestry of Japanese traditions, honor, political intrigue, and the encroachment of Western religion onto the Japanese landscape, offering viewers a compelling exploration of historical and cultural themes.I see the comparisons to Game of Thrones simply because people equate political drama to GoT, but I don't feel the comparison apt between the magical world of Westeros and that of Feudal Japan.",10
"Rare MASTERPIECE!... FINALY, REALISTIC ""Shinobi no mono""!","Usually a remake hardly is equal good with the original one - a film, a tv show, a song, etc...But sometimes, rarely... the remake is YEARS OF LIGHT MUCH BETTER than the original! That happen to me once, with the remake of ""Battlestar Galactica"" - ""SO SAY WE ALL!""...And now... with this rare MASTERPIECE!Obviously I have read the novel!And OBVIOUSLY I have watched the original short tv show. Yes, the original was also very gorgeous, amazing casting (all actors were magnificent), superb screenplay, battles, swords-fighting, etc.But this here, this new remake... is ""out of this planet""!!! If you have study the Japanese culture and History or at least if you LOVE them (as I do), you'll be enchanted!!!It has them all, as the original - and even far more better!!! The casting is great (okay, the original tv show had SUPERB actors of that era), the screenplay is very nice, the costume are gorgeous, the CGIs are fantastic, the scenes (landscape etc) are amazing, but the VERY STORY (scenario) is MUCH better than the original!In the original tv show, the English pilot ""Blackthorn"" (""Anjin"") was instantly adopted the Japanese ways, he was extremelly polite, the Japanese also accepted him very fast, etc.Here... the English pilot is... ENGLISHMAN! He cares for himself (mostly)! He has his own agenda, he wants to achieve his OWN PLANS, not simply ""obeying"" a foreign lord (Toronaga) just because he was unlucky and got shipless there!I LOVE how they portraited ""Blackthorn"", much much more better as it was in the original show.And... I was waiting... I was SUPER WAITING... to watch what I love (and study) more in Japanese History: ""SHINOBI NO MONO""!!!In the original tv show, we had TWO such scenes; one (very early) try to kill ""Anjin"" and another to kill Mariko. They were good, really good scenes in the original show.But here... oh boy! THEY NAILED IT!In the first try (attack) to ""Anjin"", they CHANGED it now and they had A FEMALE ""SHINOBI"" (""Kunoichi""!) - how many times have you ever actually watched a FEMALE ""Shinobi"" agent in action????? And most important, in 17th century's Japan (not modern ""Kunoichi"")!The second attack... the EPISODE #9... probably THE BEST of the entire season... was great till the last 15 minutes...
...and the last 15 minutes was SUPERNATURAL AMAZING!!! I had multiple... orgasms, by watching a (supposed, we never been there in 17th century's Japan) AMAZING REALISTIC infiltration of a large group of ""Shinobi no mono"" to a castle!No ""fancy"" clothes, no ""eccentric"" weapons, no ""bizzare choreography""... no. We watched PURE REALISTIC ""Shinobi"" agents, wearing DARK BROWN (!!!!!!!) simple clothing (with ribbons around their limbs), a SIMPLE piece of cloth covering their head and face (not ""fancy"" mask and cr@p!), they were holding USUAL AND SIMPLE weapons (""Katanas"", ""Kusarigama"", ""Shuriken"", etc) and they WERE NOT ""invulnerable"" (like Hollywood think about those agents) - several agents died in the proccess of the attack!!!...AMAZING tv show, AMAZING remake!Can't wait for the 2nd season - obviously those you haven't read the novel, you don't really think this is the end of it, right?The story is hardly in the MIDDLE of the novel!!!So of course it will be AT LEAST ONE MORE season!",10
"Not James Clavell's Shogun","Those giving such stellar reviews have either not read the book or seen the original miniseries which was very faithful to the novel. I'm watching this, but it is a chore... If I was not intimately familiar with the story, I would be hard pressed to follow the plot of this production. Yeah, it's pretty and all, great costumes, but none of the characters are believable in their acting, except maybe Lord Yabu. Mariko looks and acts like she just flew in from modern day Tokyo. And Buntaro? What? There is so much deviation from the book that they should have named it something else. I was really looking forward to this new series, but I'm totally disappointed.",2
"Beautiful","A masterpiece of acting and storytelling. Lessons in beauty, restraint, dedication and dignity. The acting is exquisite.What are the parallels to today's world? Culturally, we look at the opposite civilisation as the uncouth enemy and pour scorn on the other way of life.I rarely leave long reviews but having enjoyed this so much, I felt compelled to write somethingHoping it gets a second season but if it doesn't, that's almost better as this series leaves you feeling hurt but wanting more. But perhaps we have to learn from the Anjin and accept that we don't have to see and understand everything.",10
"Deviates from the book, in good ways...VISUALLY stunning","Deviations from the book like, some minor name changes, time changes (Mariko has a child now), added characters (Yabu's nephew), small stuff, which add the run time and gives the story a bit more color. Nothing that would make James Cavell roll over in his grave (RIP).This version of Shogun, so far, gives us more insight into Toranaga's thought process, which you only get from the book and not the early version of Shogun. All for the better, in my opinion.Mariko shows real emotions. Blackthorne has the same grit and determination. LOVE how spineless and manipulative they make the regents!This is a much gritter looking version of Shogun. Much more like what I would envision for a city of 1600 Japan.The first 2 episodes have been such a delight and promising. I hope they keep up the pacing and storyline.",9
"Authentic and Raw","The detail and accuracy of the time makes this an unforgettable watch, as well as the graphic depictions of warfare and violence. Characterisation is strong and makes you finding sympathy/apathy alike for the array of characters presented. It may be somewhat predictable in places, especially between the 2 main male/female leads, which is my only criticism, but otherwise this is a worthy series. Cosmo Jarvis is very watchable; enigmatic and carries himself through well despite the unfamiliar landscape and terrain. Over half way through and it seems to be heading for an epic showdown, that I hope is not predictable.",8
"House of Cards - Samurai style","When I checked the rating of this show. I was content, it reflects my view of the show as well.When I read some of the (negative) reviews, I was surprised.Sure, I haven't read the book. So I don't know if this is a perfect adaption.But on it's own it stands out as a House of Cards-style show that keeps you locked in from beginning to end of each episode.The intricacies of japanese politics, the clash and influence of outside religion and cultures, man.. it's just delicious to consume.If you're looking for a show that is packed with action and fighting. This is not the show.If you're looking for a show that makes you want to live in this japanese era, while also having moments of fun and action, don't miss out!",9
"Fantastic - cant read a word of the subtitles......","This is an excellently made series with high production values but it is a shame that the enjoyment is reduced because we cant read the subtitles without either one of us standing next to the screen or liberal use of the pause button. Viewing is interrupted with regular calls of ""what did that say"", ""rewind, I couldnt read it"". Alright, I am the wrong side of 50 and our TV set is only 40 inches but, still, making the subtitles a size that can be read would be a great help. I have no idea how people manage to understand what is happening if they are viewing on a mobile device. It spoils the experience greatly.",9
"Must watch. You won't be disappointed","Go in cold and don't watch any trailers, just have faith it will be good and you won't be disappointed. Beautiful and intense in equal measures, the whole cast and crew knocked this one out of the park. The casting and acting is spot on, stunning sets, backdrops and costumes with a perfect score to match the many different moods and emotions this rollercoaster will take you on. The story keeps you guessing and you never know which way it will turn getting more intense and intriguing with every episode that passes. The way they have brought this story and period of Japan to life is exceptional, and once I realised I wanted to binge the whole show, I waited until every episode was released first which is now a pleasure you already have available at your fingertips.Enjoy.",10
"Beautifully Done Except for One Thing","Because I am a fan of Hiroyuki Sanada, I was excited to see Shogun. Everything about the series is beautiful with one exception. Unfortunately, this one exception truly ruined the experience for me. Cosmo Jarvis was a bad choice to play Blackthorne. His acting in the series is painful to watch compared to the rest of the cast. Sometimes it seems like he is a petulant child with his mannerisms.Other than that, the rest of the cast does an excellent job. I don't mind reading subtitles, but in the streaming version, you can watch
English-dubbed episodes. There is a lot of graphic violence; however, parts of Japanese culture seem rather violent. Overall, the cinematic experience is definitely worth watching.",8
"Excellent start based on James Clavell's historical novel","What a good start FX's (seen on Disney+) has made. Based on the 1975 novel by James Clavell, this story is based around the real life experiences of English sailor William Adams (John Blackthorne in book and series), a Royal Navy veteran, who became the first Englishman to reach Japan, and his rise to influence.With Spain and Portugal the great sea powers of the 1500s, Japan was little known, incredibly difficult to navigate to and closely guarded by the Catholic states, who were on a quest for riches. After the English defeated the Spanish Armada in 1588, the Dutch and English, Protestant nations, allied against Spain and so Adams (Blackthorne) finds himself on a Dutch ship trying to open trade routes to Asia.From the outset this series takes us into 16th century Japan, in culture, language, politics, rivalry and intrigue. It's an excellent tale of differing cultures and beliefs conflicting but also merging, from Japan's rich heritage and tradition to the Catholic church's influence, not to mention the early antagonism between Protestant and Catholics.The story is rich, the production values, sets and locations excellent. We are only two episodes in, but one hopes the current standard in script and production continue.",9
"Beautifully shot but falters on casting and fidelity to the source material","Shogun is propably most notable book of late James Cavell. In time of it's publishing it was surprisingly well acceptepted even by japanese, by how well it incaptured this mysterious culture. Then comes this atrocity. Understandably some libertties need to be taken when adapting a book into a movie or tv series, but these choises done here, not only they deviate from the source material, they do it in a fashion that makes absolutely no sense. Like no sense at all. Some conversations are made totally redundant for no reason, for instance when Blackthorne explains Netherlands insurrogance against their rightfull sovereign. In a book and in 80's series it was depicted in a way that made sence. And my biggest grievance is Blackthorne. Who in their right mind thought that dead-eyed ding dong like Cosmo Jarvis was a good choice for the lead role. That's totally inexcusable. That man has zero range, he would be better of playing some football hooligan than a 1600-century pilot, whom by should be one of the better educated people in the world. In the book he has his problems coming adjusted with japanese culture but he actually learns, beacuse he's smart. Not only language but culture. And he learns how to navigate the dangerous waters of japanese in house fighting of 1600-century. Cosmo Jarvis depicts a moron who actually learns few words of japanese but absoluteli insists on being a moron and stuck to his ways. Richard Chamberlain wasn't perfect Blackthorne in 80's series, but at least he could act, Cosmo Jarvis absolutely cannot. People who are giving this one 10/10 must not have actually seen this depiction.",5
"Impressive","Considering that 44 years ago was the last and the series which can be considered, it seems a bit not sufficient. It could be much better.Toshiro Mifune acted perfectly at that time as Toranaga. Hiroyuki Sanada deserves the role in this series and I believe, at this time there is no actor could play it better than him.Cosmo, sorry to say, is completely out of the subject. No talent at all, he didn't act as for the 17th century but for actual days. Anna Sawai played greatly whit small exceptions when she didn't let the action to flow.If will be a second season, hope they will continue this great work and the scenario will bring some more action for the hungry public.",8
"Very good 😊","I am admiring the serie so much due to its captivating story and good acting of Japanese actors.The serie depicts a nice historical decade of international expansion governed by Portugal and Spain , as well as their conflict with Great Britain to master the lands and divide them.The hero of the serie acted talently to show the character potential and inteligence to save his life and the Japanese kingdom. He adapted the Japanese political rules and traditions cleverly.The sences were fascinating and the cast was chosen wisely and reflects the Japanese culture. The custumes as well were designed perfectly and the colors used described the Japanese culture, traditions and it showed each character rank in the society.",9
"Sputtered to an end","Good story well acted. High quality production cinematography was first rate, but the ending was abrupt. Expecting a Season 2 and evidently that is it. I was reading an old copy of the book and it is 1200 pages in total. I expected something more but that is it. I will not wade thru 900 more pages to reach this end..The old cheap copy I had was crumbling as it was CA 1975. In the woodstove it goes or in the trash. Clavell wrote several novels in different periods set in the far east
I saw the old series years ago with Chamberlain. I didn't remember it's ending. Maybe it wasn't memorable. My review was deemed too short. Maybe this series was too short inadequate or unfinished. I get it. Toranaga becomes Shogun. That was his plan all along. Mariko was supposed to force the hands of the council by dying. His old pal who committed suicide was to do that in protest when it seemed T had given up It was all a subtle ploy. It played out with scarcely a ripple and the story ended with a whimper. I am very chagrined it did..",8
"Anna Sawai almost ruins yet another series with her terrible acting","First, let's say that the screenplay is great; the character development is stellar; and the production quality is delightful. Three stars right away. Now, the acting: Cosmo Jarvis does his best to merge James Purefoy and Richard Burton together, even though he's still pretty annoying throughout the series. Maybe it's the way the role is/was written? Fine. Hiroyuki Sanada is brilliant, maybe the perfect actor for this production/role available today. Owns every scene he is in, for sure. Both Moeka Hoshi and Fumi Nikaidô are excellent in their roles, too; it's a shame these two fine talents were relegated to the side because of the terrible miscasting of Anna Sawai in the lead role. She was terrible in the Monarch series on AppleTV+, and she was terrible in this amazing role. That's one star down, for sure, because everyone seems to be afraid to criticize her for whatever reason-but she totally prevented this audience from even caring about her character, despite the tragic writing. Hoshi and Nikaidô steal every scene they're in; Sawai ruins every scene she's in. Other than Sawai, pretty much every other actor in this series nails their respective role. So that's 5 stars there. The only other negative? The silly final 15 minutes where the ""outcome"" is reduced to exposition of the future, like this was the ""Twilight"" finale or something. Did they run out of money/time? Just a lame way to end a fantastic series-maybe cut a little of the fringe from the first 5 episodes, and there would have been more time for a properly developed and explored ending ... instead of just spoon feeding the political intricacies to the audience. Weak ending, sadly. Definitely a watchable series, but Sawai and the finale's ""finale"" really hurt the overall rating. #facts.",8
"Well done / Joaquin Pavon","Absolutely outstanding. It really encapsulates the political, relational, and religious turmoil of that period. Each of the actors had become iconic in their own right. I think the most enjoyable way to experience this TV show is by watching it in its original language. After noticing its high rating, I stumbled upon this show. While the first 30 minutes were a bit slow, I'm grateful that I stuck with it because it kept improving and getting better as it progressed. The directors, writers, and producers were clearly knowledgeable in their craft. They had done their research and demonstrated a deep understanding of the art of storytelling.",10
"Season 1: 9/10","The show nailed the setting of 17th century Japan and pulled you straight into this world right from episode 1. Beautiful cinematography and editing (some of it was pure ASMR). The production design and costumes were amazing. Japanese culture, customs and their beliefs portrayed were fascinating. The attention to authenticity right down to the gestures and movements was truly impressive.The writing was very good. The dialogues, humor and emotional scenes, themes like death and fate, the politics and schemings, character arcs and of course the large ensemble of unique and fascinating characters. My favorites were:Toranaga:
Cold and constantly scheming and manipulating his subordinates as well as enemies to fulfill his plans. Wonderfully acted by Hiroyuki Sanada.Yabushinge:
Funny and sly, obsessed with death, willing to back stab anyone as his loyalty belongs only to himself and his self preservation. Wonderfully acted by Tadanobu Asano.Fuji:
Cute and funny. Hiding immense grief behind her eyes, mentally strong enough to carry on her duty to her Lord. The most likeable character in the show.John Blackthorne:
His character really grew on me as the show went on. His character arc was beautiful.Notable mentions: Mariko, Lady Ochiba (wonderfully acted, her creepy eyes and her voice), Omi and so many other side characters. My favorite aspect of this show were its characters.Would have loved to see more action at the end (my only gripe with the finale, but I think the neatly tying up of the characters and their arcs almost made up for it). What action was shown was good, which was usually sudden and violent. The good score helped set the tension and shock in many scenes.I will miss many of these characters. Hope season 2 maintains the quality of this season.",9
"It is what you'd expect from the trailer!","It's not uncommon to watch a trailer and go ""wow, thats good"", and have your heart broken and your dreams shattered, and to have a complete desperation for your future as a human being, and you question your reality and the hours you put in cheap entertainment, wasting precious time without your kids and your pets, when you finally see the work advertised. Well, this is not it.So far, this series is extremely well written, extremely well acted, extremely shot, extremely scored... I mean, if you're repeating extremely a lot on a sentence, you should use it on your rating... so, there you have it: 10/10.If you like samurai stories, love stories, war stories, foreign stories... if you like GOOD STORIES, you should watch this show.",10
"Excellent TV!","Haters gonna hate. Not sure what people are expecting anymore! We get a a very intriguing series that has an amazing build up they bash it, wanting more action and more ""brightness"". Ever saw a review that it is not for ""English"" speaking audience. My guy!!! We want authenticity in a series, feel immersed. You can actually read the subtitles. We get an action series people want a more slow and interesting series.Just do your self a favor and watch this TV masterpiece! Would i want more ""fights""? Sure, but the build up was too sweet to care about a 5-10 mins huge battle than never happened. It needs the proper build up that will lead into a battle. We need to become familiar with the characters and know their stories. It's a complex series!",10
"Build up only to let you down hard!","If this wasn't the biggest deception in TV series history, then I don't know what is. This show rode on the idea of a Shogun. In Japanese folklore, a Shogun was a very powerful military commander who was second to only the Emperor and he commanded a large army. And if you controlled the army, you almost nearly are in control of the country. So when this dude, Toranaga, who comes from a long line of Shoguns, is exiled and on the verge of being killed by the then rulers of Japan, we are taking on this journey of discovery. Will he become Shogun and take on these rulers? And if he won't, then what will be do?After a long wait which spanned 9 episodes of boring, long speech, great cinematography and excellent acting we are presented with a poorly written, incredibly dissatisfying ending. Honestly it felt like we, the viewers, were the ones the trick was played on. There was no Shogun, there was no grand battle, there was no ""crimson sky"", there was no justice served, and the only deaths were those of his loyal followers who sacrificed themselves, all for what?!If not for the amazing scenes, cinematography and acting, I would have given this a 3/10. The story just sucked big time.",6
"Really don't get the compliments for this","Its beautiful and the set design and costumes are amazing.The Japanese actors do the best they can with the boring dialogue they are given.That's the only good things I can say about this. It does not deserve high ratings. Don't waste your time.Blackthorn is horribly cast - not the slightest bit believable as a tall Englishman nor physically different looking enough from the Portuguese to stand out to the Japanese as the reason why they let him live, unlike the novel. He is also a poor actor.And what is with the accent, or accents I should say as the actor cannot stick to one. Horrible. I could not believe he was a British actor. I'm English and I have never heard anyone sound like that including when acting in period pieces.",5
"This show is a love letter to the original author, James Clavel","Shogun is my favourite Book and I´ve got to say I am absolutely in awe about how good this series turned out to be. The amount of detail, incredible cast, costume design, each episode quality-wise on par with top of the line AAA movies.This series feels like one of those projects made out of love and passion, I cannot imagine something so beautifully crafted, with such a high level cast, being profitable. The show's commitment to authenticity is evident in every detail, from the intricate costumes to the elaborate set designs, transporting us to a world that feels both ancient and alive. Certainly, they must´ve invested so much into this series to achieve such a masterpiece.",10
"For the 1st two episodes, it's ""Shogun"", thereafter it's ""Blackthorne and Mariko""","The first two episodes were great and some of the best TV I had watched in the last couple of years. But, as it progressed, the show started to diverge away from the best aspects of the show- the feud and the politics. Now, the whole show has turned into a romance drama revolving around Blackthorne and Mariko. Things pertaining to Shogun are in the backdrop. I had to fast forward 5-10 minutes of an episode last week out of boredom. That's how stretched out the later episodes feel compared to the first two.I hope the next episodes would be better but have a feeling this will feel more and more like a family drama.",8
"As of episode 5","This is the best TV I've seen in 30 years. I've watched plenty, I'd call it close to the first season of game of thrones in terms of the drama, and it does so well without the use of any trauma triggering action. The pace is perfectly done, character development is perfectly paced, characters act as you'd expect the to. The visuals are fantastic; I've not noticed any obvious animation but your experience may well vary. The actors are consistent in character and very well believe able, the anterarge is gripping! I very nearly over looked this and I am so thankful I did not, definitely the best show in the last couple of years, though I stand by my earlier comment of all my experience.",10
"An epic story!","There's a lot going on in Shogun, yet it doesn't distract you instead keeps you engaged right till the big payoff in the end. Seeing the anjin's shock at the culture in Japan and how different it was to where he comes from is a delight, the there's relationship with Mariko and the tension that builds with each episode and ultimately blooms in episode 9. That was the delightful payoff, though it's sad she dies in the same episode after escaping certain death in the same episode! For most of the series Mariko was bound by duty and her her marriage, you could tell Buntaro was a burden as she sleeps with the anjin after she thinks he's dead ( they tried but we all know it was her ). This was preceded by the hot tub scene were they got really intimate and is probably the best interaction they had. Phew I've talked a lot about Mariko and the anjin and that's mostly because their relationship is arguably the most interesting thing on the show and Mariko herself is the most engaging character, she will be missed. Asides both of them Toranaga is a man you just can't figure out, he's always planning something and it makes you wonder what his desires truly are. I think Yabushige understands him better than anyone especially before his death and Toranaga sees a bit of himself in Yabushige. His nephew Omi is a great character so is Ochiba no kata. Toranaga's son may not have been the brightest but he had courage and led with his heart, his actions also gave Toranaga another card to play.The story is fine where it ended, I'm strongly against a season 2 and 3 but since it's happening, Ochiba will definitely play a big part, her heir too, there might be a time skip. I can't wait to see what happens.",10
"Shogun Book versus Show","I would have given it a 10, except I am so tired of people taking great books and changing them when the go to the screen. Please keep them the same.. that's why they were highly rated books. The did the same thing with Lessons in Chemistry.After reading Shogun which was close to 1600 pages, I was very excited to see the show. Then was disappointed when complete storylines were switched around.The show is still very entertaining and amazing acting. They did a wonderful job with sets and costumes.I would still recommend watching the series because it's very worthwhile.Definitely for an older group not for young children.",9
"Finally, New Ideas for TV!","I do know that Shogun is based on a book and a previous miniseries but at this era of television it does feel authentic. This is really what this genre needed. I know a lot of people are comparing it to Game of Thrones but it is mainly because most fantasy and historical shows in recent years have failed badly not because these two shows are alike. Shogun can be like Game of Thrones in the sense that it would be the next big thing in TV.The first two episodes were really great. The pacing is absolutely brilliant. It keeps you entertained, provides enough information gradually, and does not bore you at all. Although there are a lot of subtitles but they even made that fun in some scenes like the first conversation between the Anjin and Toranaga where the interpreter is removed from it. Also, almost all the characters are portrayed beautifully by the actors and everything seems real and believable. The production and cinematography is quite good as well.I really have high hopes for the show and believe it can mark its name among the greatest shows of TV if it keeps getting better to the end and it apparently will. My only problem would then be the fact that it is said to be a miniseries and we won't get more seasons.",10
"Blown Away!!!!","Blown away! If you have any facet in your soul for culture and not some white washed bs then def check it out. The amount of detail that has been put into this show is astonishing. From the clothing to the way that people move and everything in between is unbelievably on point to the era this show is in. Love the fact that most of the show is in Japanese with subtitles makes you feel in the time period. Don't listen to the idiots that give this a low number. They can go watch the bachelor/bachelorette and continue to be a sheep. If they cancel this show after a season it's a complete travesty to entertainment. Thank you for something different!!!!!!!",10
"Amazing series, if you're not dumb","Seen the reviews complaining about subtitles. You people don't even deserve the luxury of seeing decent film. Grow up. If you're reading comprehension cannot keep up with movie subtitles thats on you. How you even wipe your own dumb fat ass?I'm betting all negative reviews re subs are America. Its not offensive, its just true in 2024. Why are some of you so ignorant and poorly educated? My immigrant friends with poor english can still manage to keep up with Eng sub'd films. Everyone here in Australia, UK, Europe, Canada we all enjoy subb'ed films. Because we're adults and educated to an acceptable degree. What is going on in US public schools? Seems to be just daycare.To complain about the best series this year like that is disqualifying. To all others who have read at least one book, just watch this without knowing anything. Its 100% quality.",9
"Meh.","I'm on episode four. The show just about continues to hold my attention. The main character, Blackthorne drives me to despair. A thoroughly unlikeable prat whose actions and attitude would more likely get him killed in the Japan of that era. The dialogue doesn't feel authentic either, and makes it difficult to remain immersed in the story world.I could easily quit this show, but I will persevere for another episode and maybe even trudge through to the bitter end, which judging by other reviews, doesn't sound too promising.For me, the Korean drama ""Alchemy of souls "" was far superior, even if it isn't quite comparing the same genre.",5
"The philosophical journey of an English seapilot in Japan","I expected disappointment and I was rewarded with one of the best shows on the little screen, no contest ! THe cultural opening is mind-blowing and yet shows how close we all are.Some compared it to Game of thrones, the political plots are very much on the same level, but viewed by an Englishman completely out of his depth. The japanese culture is on some points aberrant from the start but he is warned by a catholic sailor that he will come to see its beauty if he lives long enough.Fans of books or nostalgia, or long battles will be disappointed. Open-minded newcomers will be delighted. I suspect that's why it HAD to be filmed in Japanese in the first place. The parts in english, are supposed to be in Portuguese, which our ""pirate"" speaks but ..that would be impractical, nevertheless, we are in his shoes often enough : lost in translation..I very much never understood the Japanese culture new or old, but we deal with the new, or why people would seek it until this Series. It's not what i want for my people ever. But just like the Anjin I came to understand a few things, that beauty he was warned about and like him, i didn't change my mind, but I for sure gained a lot of respect for it that I didn't have before thanks to that series.Many bad reviews come from wildly stereotyped visions, I'm glad we avoided those.The bottomlime is that the english pirate learned and we do not.N. B.Some cultures matter more, I guess double A-bombing a small Island is how we trade better in peace and respect. Colonisation all but wiped out the unwritten history of three continents. Asia, Mesopotamia, Middle-East are however rich as historical documents go. A good narration could teach a lot about differneces without offending too many people. Any grounbreaking movie/series nowadays are the ones that aren't blindsided by old propaganda.",9
"Utterly Stunning","Its so rare these days to find an incredibly written series with such character depth. So often we're fed what to think and how we should feel but Shogun lets us explore with the characters and immerse ourselves in an unknown world, like Anjin himself.Lady Mariko's character is outstanding, so outstanding that her presence was missed in episode 10. An exemplary use of a strong female role but without the clumsy stereotypes that have crept into modern writting of such characters.Theres are too many positives to list them all but this is a must watch series for all. I just hope they leave this be and let it mature into an all time great instead of creating multiple prequels and sequels.",10
"Nothing short of perfect","Ive been on IMDB for many years, yet this is the first time I actually decided I need to comment and rate a show.I know sometime taste are subjective. And it is a possibility that some people don't appreciate this show as much as it deserve.But I have never watched a show where every episode is perfect, except this one.Every new episode, I am completely shocked. And I am not talking about cliffhanger and can't resist binging the serie. In fact, this show pretty much requires some time in between episode. I've experience every emotion watching this. I loved characters, cheered for them, hoped for them, despised some...This is the only show I have ever given a 10 and I don't think I will ever again.",10
"Yes, I get he's a pirate but.....","He doesn't have to speak like one!The Anjin's Long John Silver accent is really grating. Overemphasising every enunciation in a ""smokes 60 a day"" growl is wearing! I keep expecting every sentence to end ""har har young fellow me lad""!That aside, it's a gripping & intriguing! I am only half way through but the political manoeuvring alongside the delicate societal dances that the characters go through to not cause offence or give an indication of true feelings means you can't take your eyes off it.It is beautifully shot has enough ongoing action & twists to ensure each episode flies by.More of the Shogun & less of the pirate please! Arr Harr!",9
"Great show","Shogun i a great show. I really liked the authenticity of the characters speaking Japanese, which significantly heightens immersion. However, the experience could be further enriched if conversations in various European languages were portrayed in their native tongues rather than solely in English. It feels somewhat incongruous when characters reference speaking Portuguese, for instance, yet converse in English. Similarly, the discrepancy is noticeable when Dutch sailors communicate in English aboard their merchant vessel. This inconsistency stands out, especially when contrasted with the meticulousness of the Japanese content.Despite only viewing a few episodes, the portrayal of scenes and the performances of the cast lend credibility to the narrative. The attention to detail in set design and costume, coupled with convincing performances, creates an immersive viewing experience. The characters feel authentic, and their interactions contribute to the overall believability of the story. Each scene unfolds with a sense of realism, drawing the audience deeper into the world of feudal Japan.",8
"very well done so far","As someone who lived in Japan, learned a fair bit of Japanese and is somewhat familiar with Japanese history, this series is a pleasure to watch. I appreciate that most of the dialogue is in Japanese, capturing authentic cultural aspects in detail.I like that the series doesn't gloss over the violence and difficulties of the feudal era or the power of the samurai class over peasants and farmers. And the series captures the European colonial powers' efforts to subjugate Japan, using religion as a weapon of influence. The series I hope will show how Japan, uniquely, was mostly able to rebuff and contain those efforts, absorbing technology and knowledge for their own purposes while modernizing rapidly.",10
"Very very good , was mind blowing .","Wow , now this is something , i am speechless , i never read the book but the costumes , the plot and the acting are flawless , very good actors , from the historic point of view it brings you back in that era very easy . I loved every second of these 2 episodes .To tell u the truth i was never so hooked to a series but this one is different , it was that good , it takes very big efort to acheive such perfection . I would've give 11 stars if it was possible , i realy liked Breaking Bad and Sopranos but this one is way better , i look forward for this masterpiece , hopefully the rest will be as good as the first two . 2 quality hours i spend this year .",10
"Just not as enjoyable as I hoped","I saw the original Shogun with Richard Chamberlain and though not the best depiction of Japanese culture, it was enjoyable to watch. This remake was less enjoyable. Starting with the muted tones and sometimes difficult to follow dialog, the characters are less than engaging. There are only three standouts, Mariko, of course. The story was more hers than Toranaga's to me. Yasbushige was another standout and Lady Ochiba.Overall, it was just lot of long sad scenes, with exposition. The worst character was Blackthorne. Nothing about the character or the actor's portrayal endeared me to his plight. All in all, a beautiful look into Japan but a less than enjoyable story.",6
"Great visually-","-well acted by a fabulous cast and superb settings. But by the ending? Meh- totally let it down. It left so much hanging in the air.I am a devotee of the book- and read the biography of Will Adams even before the 1980 series came out.I loved the realism of the towns and villages in this one- but good as the cast were- the original cast were just as good. I felt cheated by the end of this new series. There was-for me- an empty hole where the heart of the story should have been.It began well- but got weaker for me every episode.I rewatched the 1980 version-and enjoyed it immensely. It was dated for sure- and far too clean and tidy- but the characters told a richer and ultimately more satisfying story.I wouldn't re-watch this version.",5
"Up there with the best TV shows","After the first two episodes of Shogun, I can say the quality of the show is up there with some of the best, like Game of Thrones and Band of Brothers. This show is so rich and authentic within the Japanese culture at around the 1600s, that it's got me wanting to learn Japanese now! I love how the Japanese have such intricate customs and traditions alongside technological innovation. How they highly value respect and honor above all else. Now, there is a double edged sword for an American audience here, because all of the Japanese actors speak in the Japanese language for the primary audio and the Portuguese language is spoken in English for the English audience to connect with as it makes you feel like a complete outsider when journeying into japan for the first time with the English sailor. I believe this is a good thing as having the Japanese speak English would have taken away a lot of the exotic/foreign mystery of the Japanese represented here and the english audience wouldnt feel as much like a foreigner when watching the Japanese in the show . So if you hate reading subtitles they do fortunately offer an English dubbed version on Hulu, along side the original audio for the show version. I implore anyone who doesn't like reading subtitles to please give the primary audio version with spoken Japanese a try, as it really adds to the story and creates a heightened sense of awareness and concern for the English sailor's survival, because it makes the Japanese here feel much more foreign and ""exotic"" here. Thanks!",10
